Date,mean_daily_streamflow
10/1/2013,7542131.123
10/2/2013,7434594.72
10/3/2013,5223000.96
10/4/2013,3632040
10/5/2013,2863321.92
10/6/2013,2422455.984
10/7/2013,2895691.68
10/8/2013,9154015.2
10/9/2013,5041781.28
10/10/2013,3412588.32
10/11/2013,2748625.92
10/12/2013,2384504.352
10/13/2013,2124195.408
10/14/2013,1917028.944
10/15/2013,1753243.056
10/16/2013,1623789.504
10/17/2013,1515287.088
10/18/2013,1421338.32
10/19/2013,1340311.968
10/20/2013,1270372.896
10/21/2013,1209966.336
10/22/2013,1155523.968
10/23/2013,1106536.032
10/24/2013,1058108.832
10/25/2013,1010522.736
10/26/2013,970634.016
10/27/2013,987558.048
10/28/2013,954423.648
10/29/2013,893023.056
10/30/2013,852471.648
10/31/2013,1046231.424
11/1/2013,1134394.416
11/2/2013,2798837.28
11/3/2013,4566552.422
11/4/2013,2573854.704
11/5/2013,2730835.296
11/6/2013,3510972
11/7/2013,10934606.88
11/8/2013,10699352.64
11/9/2013,5263526.88
11/10/2013,3758715.36
11/11/2013,3185235.36
11/12/2013,2981331.36
11/13/2013,3791085.12
11/14/2013,3357279.36
11/15/2013,3771969.12
11/16/2013,7339524.48
11/17/2013,5864279.04
11/18/2013,10979720.64
11/19/2013,27407756.16
11/20/2013,8860903.2
11/21/2013,5513309.28
11/22/2013,4262613.12
11/23/2013,3615727.68
11/24/2013,3250484.64
11/25/2013,3012171.84
11/26/2013,2810052
11/27/2013,2644125.12
11/28/2013,2601050.4
11/29/2013,2453296.464
11/30/2013,2503711.728
12/1/2013,11140804.8
12/2/2013,10730957.76
12/3/2013,5321639.52
12/4/2013,3921328.8
12/5/2013,3253288.32
12/6/2013,0
12/7/2013,0
12/8/2013,0
12/9/2013,2232086.112
12/10/2013,2155265.28
12/11/2013,2018573.136
12/12/2013,1919297.376
12/13/2013,2062310.544
12/14/2013,2096362.512
12/15/2013,2346297.84
12/16/2013,2511434.592
12/17/2013,2085249.744
12/18/2013,1925363.52
12/19/2013,1777074.336
12/20/2013,1734509.376
12/21/2013,1837812.24
12/22/2013,2829728.736
12/23/2013,11387018.88
12/24/2013,6670719.36
12/25/2013,4127526.72
12/26/2013,3293304.48
12/27/2013,3126358.08
12/28/2013,3403667.52
12/29/2013,2899514.88
12/30/2013,2644380
12/31/2013,2599776
1/1/2014,2501825.616
1/2/2014,2553821.136
1/3/2014,5262252.48
1/4/2014,3384806.4
1/5/2014,2818463.04
1/6/2014,2535954.048
1/7/2014,3475798.56
1/8/2014,6778278.72
1/9/2014,8834650.56
1/10/2014,8862687.36
1/11/2014,28149711.84
1/12/2014,17319350.88
1/13/2014,24606624.96
1/14/2014,17786800.8
1/15/2014,8731169.28
1/16/2014,5987640.96
1/17/2014,4868208
1/18/2014,4230498.24
1/19/2014,3716150.4
1/20/2014,3258385.92
1/21/2014,2959411.68
1/22/2014,2773859.04
1/23/2014,2555681.76
1/24/2014,2407035.744
1/25/2014,2422430.496
