"Date","Qob.L3","Qsim.L3","SurfaceFlow.L3","Baseflow.L3","DirectRunoff.L3","Eta.L3","StSur.L3","StBase.L3","Impulse.L","Zs.L","Zb.L","Infil.L3","Rech.L3","RecessCount.T","AdjPctEr","Weight","CB0.05","CB0.95"
2013-10-02,7434590,4801640,776743,4024900,0,2632950,2969300,129598000,0,1.02461,65.574,0,1090330,2,-0.45616,0.269078301312245,NA,NA
2013-10-03,5223000,4305930,462577,3843350,0,917074,1783120,126478000,0,0.609973,62.844,0,723608,3,-0.262132,0.375106104252511,NA,NA
2013-10-04,3632040,3941980,271333,3670650,0,-309943,1051690,123268000,0,0.357881,59.802,0,460099,4,0.010514,1,NA,NA
2013-10-05,2863320,3661180,156177,3505000,0,-797855,607812,120050000,0,0.206185,56.907,0,287697,5,0.221001,1,NA,NA
2013-10-06,2422460,3435130,88234.8,3346900,0,-1012680,344743,116878000,0,0.116729,54.537,0,174834,6,0.375386,1,NA,NA
2013-10-07,2895690,3256630,49125.7,3207500,0,-360934,192672,113774000,0,0.0651692,52.266,0,102945,0,0.106206,1,2570000,8480000
2013-10-08,9154020,6593510,1945790,3266600,1381110,2560510,5794210,114797000,0.805737,2.04318,53.013,11837500,4290170,0,-0.64034,0,NA,NA
2013-10-09,5041780,4924570,1169690,3161750,593127,117215,5229210,114172000,0.188079,1.83576,52.638,3141630,2536930,1,-0.369941,0.145060412258413,NA,NA
2013-10-10,3412590,3849370,742725,3106650,0,-436787,2862190,112690000,0,0.986863,51.531,0,1624300,2,-0.0886064,0.269078301312245,NA,NA
2013-10-11,2748630,3442000,400752,3041250,0,-693376,1563660,110547000,0,0.534056,50.09,0,897775,3,0.104928,1,NA,NA
2013-10-12,2384500,3161780,215832,2945950,0,-777277,849351,108099000,0,0.288613,48.346,0,498482,4,0.231553,1,2490000,8230000
2013-10-13,2124200,2968750,115445,2853300,0,-844550,457584,105522000,0,0.15506,46.662,0,276322,5,0.336864,1,2290000,7540000
2013-10-14,1917030,2815210,61311.5,2753900,0,-898183,244552,102920000,0,0.082747,45.038,0,151720,6,0.427582,1,2170000,7150000
2013-10-15,1753240,2690370,32324.6,2658050,0,-937132,129711,100344000,0,0.043854,43.469,0,82516.6,7,0.504511,1,1970000,5960000
2013-10-16,1623790,2582420,16921.5,2565500,0,-958632,68315.2,97823400,0,0.0230868,41.956,0,44474.4,8,0.565939,1,1890000,5720000
2013-10-17,1515290,2484950,8799.51,2476150,0,-969662,35747.3,95371100,0,0.0120779,40.495,0,23768.3,9,0.617729,1,1640000,5610000
2013-10-18,1421340,2394500,4547.87,2389950,0,-973160,18595.4,92993700,0,0.00628205,39.085,0,12604.1,10,0.662739,1,1580000,5410000
2013-10-19,1340310,2309040,2337.38,2306700,0,-968725,9621.52,90693600,0,0.00325022,37.992,0,6636.49,11,0.700026,1,1350000,4800000
2013-10-20,1270370,2243450,1198.02,2242250,0,-973075,4958.95,88454900,0,0.00167512,36.669,0,3464.55,12,0.741572,1,1310000,4660000
2013-10-21,1209970,2164760,610.373,2164150,0,-954794,2544.58,86292500,0,0.000859534,35.392,0,1804,13,0.763251,1,423000,3870000
2013-10-22,1155520,2096410,309.689,2096100,0,-940886,1300.54,84197300,0,0.000439307,34.403,0,934.344,14,0.786623,1,410000,3750000
2013-10-23,1106540,2037660,156.894,2037500,0,-931121,662.825,82160300,0,0.000223893,33.441,0,480.824,15,0.811845,1,399000,3640000
2013-10-24,1058110,1973730,79.2727,1973650,0,-915620,336.939,80186900,0,0.000113813,32.277,0,246.613,16,0.833599,1,1080000,3510000
2013-10-25,1010520,1911640,39.8737,1911600,0,-901117,170.787,78275400,0,5.76891e-05,31.374,0,126.279,17,0.857586,1,1040000,3400000
2013-10-26,970634,1858170,20.0445,1858150,0,-887536,86.3904,76417400,0,2.91814e-05,30.497,0,64.3516,18,0.878012,1,1e+06,3040000
2013-10-27,987558,1806210,10.0575,1806200,0,-818652,43.6196,74611200,0,1.4734e-05,29.645,0,32.7134,19,0.796539,1,973000,2960000
2013-10-28,954424,1755710,5.03799,1755700,0,-801281,21.9882,72855500,0,7.42727e-06,28.816,0,16.5934,20,0.805615,1,945000,2880000
