"Date","Qob.L3","Qsim.L3","SurfaceFlow.L3","Baseflow.L3","DirectRunoff.L3","Eta.L3","StSur.L3","StBase.L3","Impulse.L","Zs.L","Zb.L","Infil.L3","Rech.L3","RecessCount.T","AdjPctEr","Weight","CB0.05","CB0.95"
"2013-10-01",7542130,NA,2110740,4260620,NA,NA,4836520,132532000,NA,1.69272,68.91,3073280,2554360,1,NA,0.145060412258413,NA,NA
"2013-10-02",7434590,4801670,776769,4024900,0,2632930,2969380,129598000,0,1.02464,65.574,0,1090360,2,-0.352241,0.269078301312245,NA,NA
"2013-10-03",5223000,4305940,462592,3843350,0,917059,1783170,126478000,0,0.60999,62.844,0,723627,3,-0.17424,0.375106104252511,NA,NA
"2013-10-04",3632040,3941990,271341,3670650,0,-309951,1051710,123268000,0,0.357891,59.802,0,460111,4,0.0844041,1,NA,NA
"2013-10-05",2863320,3661180,156182,3505000,0,-797860,607827,120050000,0,0.20619,56.907,0,287704,5,0.274791,1,NA,NA
"2013-10-06",2422460,3435140,88237.4,3346900,0,-1012680,344752,116878000,0,0.116732,54.537,0,174838,6,0.411217,1,NA,NA
"2013-10-07",2895690,3256630,49127.2,3207500,0,-360935,192677,113774000,0,0.0651709,52.266,0,102947,0,0.122939,1,2570000,8480000
"2013-10-08",9154020,6593510,1945800,3266600,1381110,2560500,5794220,114797000,0.805737,2.04318,53.013,11837500,4290170,0,-0.278491,0,NA,NA
"2013-10-09",5041780,4924560,1169690,3161750,593116,117225,5229190,114172000,0.188076,1.83575,52.638,3141580,2536920,1,-0.0230669,0.145060412258413,NA,NA
"2013-10-10",3412590,3849370,742725,3106650,0,-436786,2862180,112690000,0,0.986859,51.531,0,1624290,2,0.126503,1,NA,NA
"2013-10-11",2748630,3442000,400752,3041250,0,-693376,1563660,110547000,0,0.534054,50.09,0,897769,3,0.248627,1,NA,NA
"2013-10-12",2384500,3161780,215831,2945950,0,-777277,849346,108099000,0,0.288612,48.346,0,498478,4,0.320567,1,2490000,8230000
"2013-10-13",2124200,2968750,115445,2853300,0,-844550,457581,105522000,0,0.155059,46.662,0,276320,5,0.390203,1,2290000,7540000
"2013-10-14",1917030,2815210,61311.3,2753900,0,-898182,244551,102920000,0,0.0827465,45.038,0,151719,6,0.458907,1,2170000,7150000
"2013-10-15",1753240,2690370,32324.5,2658050,0,-937131,129710,100344000,0,0.0438537,43.469,0,82516,7,0.522535,1,1970000,5960000
"2013-10-16",1623790,2582420,16921.5,2565500,0,-958632,68314.6,97823500,0,0.0230866,41.956,0,44474.1,8,0.576108,1,1890000,5720000
"2013-10-17",1515290,2484950,8799.48,2476150,0,-969662,35747,95371100,0,0.0120778,40.495,0,23768.1,9,0.623386,1,1640000,5610000
"2013-10-18",1421340,2394500,4547.86,2389950,0,-973160,18595.2,92993700,0,0.006282,39.085,0,12604,10,0.66585,1,1580000,5410000
"2013-10-19",1340310,2309040,2337.37,2306700,0,-968725,9621.44,90693700,0,0.00325019,37.992,0,6636.42,11,0.701719,1,1350000,4800000
"2013-10-20",1270370,2243450,1198.01,2242250,0,-973075,4958.91,88454900,0,0.0016751,36.669,0,3464.52,12,0.742486,1,1310000,4660000
"2013-10-21",1209970,2164760,610.37,2164150,0,-954794,2544.55,86292500,0,0.000859526,35.392,0,1803.98,13,0.763739,1,423000,3870000
"2013-10-22",1155520,2096410,309.687,2096100,0,-940886,1300.53,84197400,0,0.000439303,34.403,0,934.334,14,0.786882,1,410000,3750000
"2013-10-23",1106540,2037660,156.893,2037500,0,-931121,662.819,82160300,0,0.000223891,33.441,0,480.819,15,0.811982,1,399000,3640000
"2013-10-24",1058110,1973730,79.2722,1973650,0,-915620,336.936,80186900,0,0.000113812,32.277,0,246.61,16,0.833671,1,1080000,3530000
"2013-10-25",1010520,1911640,39.8735,1911600,0,-901117,170.785,78275500,0,5.76886e-05,31.374,0,126.278,17,0.857624,1,1040000,3420000
"2013-10-26",970634,1858170,20.0444,1858150,0,-887536,86.3895,76417400,0,2.91811e-05,30.497,0,64.3508,18,0.878032,1,1e+06,3040000
"2013-10-27",987558,1806210,10.0574,1806200,0,-818652,43.6191,74611200,0,1.47339e-05,29.645,0,32.713,19,0.796549,1,973000,2960000
"2013-10-28",954424,1755710,5.03796,1755700,0,-801281,21.9879,72855500,0,7.42719e-06,28.816,0,16.5932,20,0.80562,1,945000,2880000
"2013-10-29",893023,1706600,2.51989,1706600,0,-813579,11.0678,71148900,0,3.73855e-06,28.01,0,8.40018,21,0.871804,1,892000,2410000
"2013-10-30",852472,1658900,1.25878,1658900,0,-806430,5.56403,69490000,0,1.87945e-06,27.227,0,4.24503,22,0.903398,1,867000,2340000
"2013-10-31",1046230,1612550,0.628109,1612550,0,-566319,2.79405,67877500,0,9.43789e-07,26.466,0,2.14187,0,0.52127,1,843000,2280000
"2013-11-01",1134390,1567450,0.313117,1567450,0,-433056,1.40173,66310100,0,4.73483e-07,25.726,0,1.07921,0,0.368688,1,819000,2210000
"2013-11-02",2798840,2257050,536423,1573100,147530,541784,2137270,66604900,0.247561,0.733002,25.909,4541660,1867970,0,-0.190834,0,NA,NA
"2013-11-03",4566550,3666990,1199600,1625300,842082,899567,4383990,69146400,0.457898,1.52899,27.035,7613110,4166780,0,-0.195272,0,NA,NA
"2013-11-04",2573850,2096070,494967,1601100,0,477788,2196590,69237700,0,0.753675,27.035,0,1692430,1,-0.182777,0.145060412258413,410000,3750000
