"Xb","Z","S","Q"
0,0,0,0
65.426,0.65426,1930400,39297
65.891,0.65891,1944100,39577
66.36,0.6636,1957900,39858
66.832,0.66832,1971800,40142
67.307,0.67307,1985800,40428
67.786,0.67786,1999800,40715
68.268,0.68268,2014000,41005
68.754,0.68754,2028300,41296
69.243,0.69243,2042700,41590
69.736,0.69736,2057200,41886
70.232,0.70232,2071700,42184
70.731,0.70731,2086400,42484
71.234,0.71234,2101200,42786
71.741,0.71741,2116100,43091
72.251,0.72251,2131100,43397
72.765,0.72765,2146200,43706
73.283,0.73283,2161400,44017
73.804,0.73804,2176700,44330
74.329,0.74329,2192200,44645
74.858,0.74858,2207700,44963
75.391,0.75391,2223300,45283
75.927,0.75927,2239100,45605
76.467,0.76467,2255000,45929
77.011,0.77011,2270900,46256
77.559,0.77559,2287000,46585
78.11,0.7811,2303200,46916
78.666,0.78666,2319500,47250
79.226,0.79226,2336000,47586
79.789,0.79789,2352500,47925
80.357,0.80357,2369200,48266
80.928,0.80928,2386000,48609
81.504,0.81504,2402900,48955
82.084,0.82084,2419900,49303
82.668,0.82668,2437000,49654
83.256,0.83256,2454300,50007
83.848,0.83848,2471700,50363
84.445,0.84445,2489200,50721
85.045,0.85045,2506800,51082
85.65,0.8565,2524600,51445
86.26,0.8626,2542500,51811
86.873,0.86873,2560500,52180
87.491,0.87491,2578600,52551
88.114,0.88114,2596900,52925
88.74,0.8874,2615200,53301
89.372,0.89372,2633800,53680
90.007,0.90007,2652400,54062
90.648,0.90648,2671200,54447
91.292,0.91292,2690100,54834
91.942,0.91942,2709100,55224
92.596,0.92596,2728300,55617
93.255,0.93255,2747600,56013
93.918,0.93918,2767100,56411
94.586,0.94586,2786700,56812
95.259,0.95259,2806400,57216
95.936,0.95936,2826300,57623
96.619,0.96619,2846300,58033
97.306,0.97306,2866400,58446
97.998,0.97998,2886700,58862
98.696,0.98696,2907100,59281
99.398,0.99398,2927700,59702
100.1,1.001,2948400,60127
100.82,1.0082,2969300,60555
101.53,1.0153,2990300,60986
102.26,1.0226,3011500,61419
102.98,1.0298,3032800,61856
103.72,1.0372,3054200,62296
104.45,1.0445,3075900,62739
105.2,1.052,3097600,63186
105.95,1.0595,3119500,63635
106.7,1.067,3141600,64088
107.46,1.0746,3163800,64544
108.22,1.0822,3186200,65003
108.99,1.0899,3208700,65465
109.77,1.0977,3231400,65931
110.55,1.1055,3254300,66400
111.33,1.1133,3277300,66872
112.13,1.1213,3300500,67348
112.92,1.1292,3323800,67827
113.73,1.1373,3347300,68310
114.54,1.1454,3371000,68796
115.35,1.1535,3394900,69285
116.17,1.1617,3418900,69778
117,1.17,3443000,70274
117.83,1.1783,3467400,70774
118.67,1.1867,3491900,71278
119.51,1.1951,3516600,71785
120.36,1.2036,3541400,72295
121.22,1.2122,3566500,72809
122.08,1.2208,3591700,73327
122.95,1.2295,3617100,73849
123.82,1.2382,3642600,74374
124.71,1.2471,3668400,74903
125.59,1.2559,3694300,75436
126.49,1.2649,3720400,75973
127.39,1.2739,3746700,76513
128.29,1.2829,3773200,77058
129.2,1.292,3799900,77606
130.12,1.3012,3826700,78158
131.05,1.3105,3853700,78714
131.98,1.3198,3881000,79274
132.92,1.3292,3908400,79838
133.87,1.3387,3936000,80406
134.82,1.3482,3963800,80978
135.78,1.3578,3991800,81554
136.74,1.3674,4020000,82134
137.72,1.3772,4048400,82718
138.7,1.387,4077000,83306
139.68,1.3968,4105800,83899
140.68,1.4068,4134800,84496
141.68,1.4168,4164000,85097
142.68,1.4268,4193400,85702
143.7,1.437,4223000,86312
144.72,1.4472,4252800,86926
145.75,1.4575,4282800,87544
146.79,1.4679,4313100,88167
147.83,1.4783,4343500,88794
148.88,1.4888,4374200,89426
149.94,1.4994,4405100,90062
151.01,1.5101,4436200,90703
152.08,1.5208,4467500,91348
153.17,1.5317,4499000,91998
154.25,1.5425,4530700,92652
155.35,1.5535,4562700,93311
156.46,1.5646,4594900,93975
157.57,1.5757,4627300,94643
158.69,1.5869,4660000,95317
159.82,1.5982,4692900,95995
160.96,1.6096,4726000,96678
162.1,1.621,4759300,97365
163.26,1.6326,4792900,98058
164.42,1.6442,4826700,98755
165.59,1.6559,4860700,99458
166.76,1.6676,4895000,100170
167.95,1.6795,4929500,100880
169.14,1.6914,4964300,101600
170.35,1.7035,4999300,102320
171.56,1.7156,5034500,103050
172.78,1.7278,5070000,103780
174.01,1.7401,5105800,104520
175.25,1.7525,5141800,105260
176.49,1.7649,5178000,106010
177.75,1.7775,5214500,106760
179.01,1.7901,5251300,107520
180.29,1.8029,5288300,108290
181.57,1.8157,5325500,109060
182.86,1.8286,5363100,109830
184.16,1.8416,5400900,110620
185.47,1.8547,5438900,111400
186.79,1.8679,5477200,112190
188.12,1.8812,5515800,112990
189.46,1.8946,5554700,113800
190.81,1.9081,5593800,114610
192.16,1.9216,5633200,115420
193.53,1.9353,5672900,116240
194.91,1.9491,5712800,117070
196.29,1.9629,5753000,117900
197.69,1.9769,5793600,118740
199.1,1.991,5834300,119590
200.51,2.0051,5875400,120440
201.94,2.0194,5916800,121290
203.38,2.0338,5958400,122160
204.82,2.0482,6000400,123020
206.28,2.0628,6042600,123900
207.75,2.0775,6085100,124780
209.22,2.0922,6127900,125670
210.71,2.1071,6171100,126560
212.21,2.1221,6214500,127460
213.72,2.1372,6258200,128370
215.24,2.1524,6302200,129280
216.77,2.1677,6346500,130200
218.31,2.1831,6391200,131130
219.87,2.1987,6436100,132060
221.43,2.2143,6481400,133000
223.01,2.2301,6527000,133950
224.59,2.2459,6572900,134900
226.19,2.2619,6619100,135860
227.8,2.278,6665600,136830
229.42,2.2942,6712500,137800
231.05,2.3105,6759600,138780
232.7,2.327,6807200,139770
234.35,2.3435,6855000,140760
236.02,2.3602,6903200,141760
237.7,2.377,6951700,142770
239.39,2.3939,7000500,143790
241.09,2.4109,7049700,144810
242.81,2.4281,7099200,145840
244.53,2.4453,7149100,146880
246.27,2.4627,7199300,147920
248.02,2.4802,7249800,148970
249.79,2.4979,7300700,150030
251.57,2.5157,7352000,151100
253.36,2.5336,7403600,152180
255.16,2.5516,7455600,153260
256.97,2.5697,7507900,154350
258.8,2.588,7560600,155450
260.64,2.6064,7613700,156550
262.5,2.625,7667100,157670
264.36,2.6436,7720900,158790
266.24,2.6624,7775100,159920
268.14,2.6814,7829600,161050
270.04,2.7004,7884500,162200
271.97,2.7197,7939800,163350
273.9,2.739,7995500,164520
275.85,2.7585,8051600,165690
277.81,2.7781,8108000,166860
279.79,2.7979,8164900,168050
281.78,2.8178,8222100,169250
283.78,2.8378,8279700,170450
285.8,2.858,8337700,171660
287.83,2.8783,8396200,172890
289.88,2.8988,8455000,174110
291.94,2.9194,8514200,175350
294.02,2.9402,8573900,176600
296.11,2.9611,8633900,177860
298.22,2.9822,8694400,179120
300.34,3.0034,8755300,180400
302.48,3.0248,8816600,181680
304.63,3.0463,8878300,182970
306.79,3.0679,8940500,184270
308.98,3.0898,9003100,185580
311.17,3.1117,9066100,186900
313.39,3.1339,9129500,188230
315.62,3.1562,9193400,189570
317.86,3.1786,9257700,190920
320.12,3.2012,9322500,192280
322.4,3.224,9387700,193650
324.69,3.2469,9453300,195030
327,3.27,9519500,196410
329.33,3.2933,9586000,197810
331.67,3.3167,9653000,199220
334.03,3.3403,9720500,200630
336.41,3.3641,9788500,202060
338.8,3.388,9856900,203500
341.21,3.4121,9925700,204950
343.64,3.4364,9995100,206400
346.08,3.4608,10065000,207870
348.55,3.4855,10135000,209350
351.02,3.5102,10206000,210840
353.52,3.5352,10277000,212340
356.04,3.5604,10349000,213850
358.57,3.5857,10421000,215370
361.12,3.6112,10494000,216900
363.69,3.6369,10567000,218450
366.28,3.6628,10641000,220000
368.88,3.6888,10715000,221570
371.51,3.7151,10790000,223140
374.15,3.7415,10865000,224730
376.81,3.7681,10941000,226330
379.49,3.7949,11017000,227940
382.19,3.8219,11094000,229560
384.91,3.8491,11171000,231190
387.65,3.8765,11249000,232840
390.4,3.904,11328000,234490
393.18,3.9318,11407000,236160
395.98,3.9598,11486000,237840
398.8,3.988,11566000,239530
401.63,4.0163,11647000,241240
404.49,4.0449,11728000,242950
407.37,4.0737,11809000,244680
410.26,4.1026,11892000,246420
413.18,4.1318,11974000,248170
416.12,4.1612,12058000,249940
419.08,4.1908,12142000,251720
422.06,4.2206,12226000,253510
425.07,4.2507,12311000,255310
428.09,4.2809,12397000,257130
431.13,4.3113,12483000,258960
434.2,4.342,12570000,260800
437.29,4.3729,12657000,262650
440.4,4.404,12745000,264520
443.53,4.4353,12834000,266400
446.69,4.4669,12923000,268300
449.87,4.4987,13013000,270210
453.07,4.5307,13103000,272130
456.29,4.5629,13194000,274070
459.53,4.5953,13286000,276020
462.8,4.628,13378000,277980
466.1,4.661,13471000,279960
469.41,4.6941,13564000,281950
472.75,4.7275,13658000,283950
476.11,4.7611,13753000,285970
479.5,4.795,13848000,288010
482.91,4.8291,13944000,290060
486.35,4.8635,14041000,292120
489.81,4.8981,14138000,294200
493.29,4.9329,14236000,296290
496.8,4.968,14335000,298400
500.33,5.0033,14434000,300520
503.89,5.0389,14534000,302660
507.48,5.0748,14635000,304810
511.09,5.1109,14736000,306980
514.72,5.1472,14838000,309160
518.38,5.1838,14941000,311360
522.07,5.2207,15044000,313580
525.79,5.2579,15148000,315810
529.53,5.2953,15253000,318060
533.29,5.3329,15359000,320320
537.09,5.3709,15465000,322600
540.91,5.4091,15572000,324890
544.75,5.4475,15679000,327200
548.63,5.4863,15788000,329530
552.53,5.5253,15897000,331870
556.46,5.5646,16007000,334240
560.42,5.6042,16117000,336610
564.41,5.6441,16228000,339010
568.42,5.6842,16340000,341420
572.47,5.7247,16453000,343850
576.54,5.7654,16567000,346290
580.64,5.8064,16681000,348760
584.77,5.8477,16796000,351240
588.93,5.8893,16912000,353740
593.12,5.9312,17028000,356250
597.34,5.9734,17145000,358790
601.59,6.0159,17264000,361340
605.87,6.0587,17382000,363910
610.18,6.1018,17502000,366500
614.52,6.1452,17623000,369110
618.89,6.1889,17744000,371730
623.29,6.2329,17866000,374380
627.73,6.2773,17989000,377040
632.19,6.3219,18113000,379720
636.69,6.3669,18237000,382420
641.22,6.4122,18362000,385140
645.78,6.4578,18489000,387880
650.37,6.5037,18616000,390640
655,6.55,18743000,393420
659.66,6.5966,18872000,396220
664.35,6.6435,19002000,399040
669.08,6.6908,19132000,401880
673.84,6.7384,19263000,404730
678.63,6.7863,19395000,407610
683.46,6.8346,19528000,410510
688.32,6.8832,19662000,413430
693.21,6.9321,19797000,416370
698.15,6.9815,19933000,419340
703.11,7.0311,20069000,422320
708.11,7.0811,20207000,425320
713.15,7.1315,20345000,428350
718.22,7.1822,20484000,431400
723.33,7.2333,20624000,434460
728.48,7.2848,20765000,437560
733.66,7.3366,20907000,440670
738.88,7.3888,21050000,443800
